Ref,Val,Package,PosX,PosY,Rot,Side
"R131","100","R_0805_2012Metric",286.861000,-195.662000,0.000000,top
"R132","10K","R_0805_2012Metric",286.861000,-217.279000,0.000000,top
"R133","100","R_0805_2012Metric",286.861000,-221.229000,0.000000,top
"R134","10K","R_0805_2012Metric",311.422000,-140.617000,0.000000,top
"R135","100","R_0805_2012Metric",311.422000,-144.520000,0.000000,top
"R136","10K","R_0805_2012Metric",311.422000,-166.129000,0.000000,top
"R137","100","R_0805_2012Metric",311.422000,-170.079000,0.000000,top
"R138","10K","R_0805_2012Metric",311.422000,-191.712000,0.000000,top
"R139","100","R_0805_2012Metric",311.422000,-195.662000,0.000000,top
"R140","10K","R_0805_2012Metric",311.422000,-217.279000,0.000000,top
"R141","100","R_0805_2012Metric",311.422000,-221.229000,0.000000,top
"R142","10K","R_0805_2012Metric",329.232000,-172.686000,-90.000000,top
"R143","10K","R_0805_2012Metric",346.044000,-149.382000,-90.000000,top
"R144","10K","R_0805_2012Metric",362.453000,-174.531000,-90.000000,top
"R145","10K","R_0805_2012Metric",364.852000,-149.382000,-90.000000,top
"R146","10K","R_0805_2012Metric",368.802000,-149.382000,-90.000000,top
"R147","10K","R_0805_2012Metric",366.369000,-164.879000,-90.000000,top
"R148","10K","R_0805_2012Metric",399.528000,-172.686000,-90.000000,top
"R149","10K","R_0805_2012Metric",399.457000,-149.634000,-90.000000,top
"R150","0.22R","R_2512_6332Metric",340.382000,-201.607000,-90.000000,top
"R151","0.22R","R_2512_6332Metric",340.389000,-222.145000,-90.000000,top
"R152","0.22R","R_2512_6332Metric",334.308000,-201.607000,-90.000000,top
"R153","0.22R","R_2512_6332Metric",334.308000,-222.145000,-90.000000,top
"R154","1K","R_0805_2012Metric",349.853000,-191.802000,0.000000,top
"R155","100","R_0805_2012Metric",349.564000,-174.942000,0.000000,top
"R156","1K","R_0805_2012Metric",349.624000,-204.750000,0.000000,top
"R157","100","R_0805_2012Metric",350.021000,-187.852000,0.000000,top
"R158","1K","R_0805_2012Metric",350.145000,-225.486000,0.000000,top
"R159","100","R_0805_2012Metric",349.594000,-208.652000,0.000000,top
