 time            v(vout)         v(vinf)         v(en)           i(L1)          
 0.00000000e+00  5.10499956e+00 -3.66748881e-07  4.12063282e-05 -6.03707454e-07 
 2.61000000e-04 -1.37240357e-02  5.46997433e-01  5.67830109e-02 -2.65969034e+00 
 2.62000000e-04 -1.57619202e-02  5.43127814e-01  5.67588884e-02 -2.57489777e+00 
 2.63000000e-04 -1.76918214e-02  5.39298286e-01  5.67347993e-02 -2.49093311e+00 
 2.64000000e-04 -1.95150165e-02  5.35510251e-01  5.67107556e-02 -2.40779699e+00 
 2.65000000e-04 -2.12327776e-02  5.31765224e-01  5.66867703e-02 -2.32548979e+00 
 2.66000000e-04 -2.28463709e-02  5.28064833e-01  5.66628576e-02 -2.24401162e+00 
 2.67000000e-04 -2.43570560e-02  5.24410819e-01  5.66390328e-02 -2.16336230e+00 
 2.68000000e-04 -2.57660854e-02  5.20805028e-01  5.66153125e-02 -2.08354136e+00 
 2.69000000e-04 -2.70747040e-02  5.17249405e-01  5.65917145e-02 -2.00454804e+00 
 2.70000000e-04 -2.82841485e-02  5.13745973e-01  5.65682576e-02 -1.92638128e+00 
 2.71000000e-04 -2.93956469e-02  5.10296818e-01  5.65449615e-02 -1.84903972e+00 
 2.72000000e-04 -3.04104180e-02  5.06904058e-01  5.65218468e-02 -1.77252171e+00 
 2.73000000e-04 -3.13296713e-02  5.03569818e-01  5.64989348e-02 -1.69682527e+00 
 2.74000000e-04 -3.21546061e-02  5.00296184e-01  5.64762471e-02 -1.62194817e+00 
 2.75000000e-04 -3.28864121e-02  4.97085172e-01  5.64538051e-02 -1.54788787e+00 
 2.76000000e-04 -3.35262687e-02  4.93938684e-01  5.64316304e-02 -1.47464160e+00 
 2.77000000e-04 -3.40753453e-02  4.90858463e-01  5.64097436e-02 -1.40220631e+00 
 2.78000000e-04 -3.45348015e-02  4.87846060e-01  5.63881646e-02 -1.33057878e+00 
 2.79000000e-04 -3.49057874e-02  4.84902793e-01  5.63669119e-02 -1.25975556e+00 
 2.80000000e-04 -3.51894442e-02  4.82029725e-01  5.63460025e-02 -1.18973307e+00 
 2.81000000e-04 -3.53869044e-02  4.79227639e-01  5.63254516e-02 -1.12050762e+00 
