 time                v(vout)             v(vinf)             v(en)               i(L1)              
 0.000000000000e+00  1.199926846611e+01  2.618784163693e-04 -1.004299714660e-04 -1.011861675339e-05 
 2.200000000000e-05  6.546231124567e+00  4.440827601150e+00  6.138229566435e-01 -5.009018547333e+00 
 2.300000000000e-05  6.448803009442e+00  4.375514104655e+00  6.051135373406e-01 -5.170420436881e+00 
 2.400000000000e-05  6.352977380462e+00  4.311257195829e+00  5.965450114139e-01 -5.327436224102e+00 
 2.500000000000e-05  6.258719519132e+00  4.248034228508e+00  5.881143590520e-01 -5.480176455534e+00 
 2.600000000000e-05  6.166021292595e+00  4.185840096293e+00  5.798208993453e-01 -5.628679384398e+00 
 2.700000000000e-05  6.074848646000e+00  4.124652580177e+00  5.716616694336e-01 -5.773052966011e+00 
 2.800000000000e-05  5.985176778917e+00  4.064455561183e+00  5.636345198983e-01 -5.913379635880e+00 
 2.900000000000e-05  5.896981278205e+00  4.005233170204e+00  5.557373346352e-01 -6.049740368009e+00 
 3.000000000000e-05  5.810238122783e+00  3.946969791101e+00  5.479680312733e-01 -6.182214665292e+00 
 3.100000000000e-05  5.724923677478e+00  3.889650056789e+00  5.403245606515e-01 -6.310880585982e+00 
 3.200000000000e-05  5.641014686846e+00  3.833258845302e+00  5.328049062953e-01 -6.435814769914e+00 
 3.300000000000e-05  5.558488269092e+00  3.777781275934e+00  5.254070839008e-01 -6.557092464085e+00 
 3.400000000000e-05  5.477321910089e+00  3.723202705419e+00  5.181291408266e-01 -6.674787547612e+00 
 3.500000000000e-05  5.397493457484e+00  3.669508724190e+00  5.109691555939e-01 -6.788972556135e+00 
 3.600000000000e-05  5.318981114909e+00  3.616685152681e+00  5.039252373941e-01 -6.899718705660e+00 
 3.700000000000e-05  5.241761550151e+00  3.564716788545e+00  4.969953589628e-01 -7.007100750193e+00 
 3.800000000000e-05  5.165825962471e+00  3.513598042026e+00  4.901787751340e-01 -7.111155555257e+00 
 3.900000000000e-05  5.091134540404e+00  3.463302798941e+00  4.834720034315e-01 -7.211999920076e+00 
 4.000000000000e-05  5.017675489718e+00  3.413823475336e+00  4.768740326290e-01 -7.309677553643e+00 
 4.100000000000e-05  4.945428712216e+00  3.365146989503e+00  4.703831183128e-01 -7.404253407793e+00 
 4.200000000000e-05  4.874374430786e+00  3.317260467496e+00  4.639975437752e-01 -7.495791254503e+00 
 4.300000000000e-05  4.804493186215e+00  3.270151241087e+00  4.577156197397e-01 -7.584353699980e+00 
 4.400000000000e-05  4.735765832107e+00  3.223806844512e+00  4.515356839285e-01 -7.670002204877e+00 
 4.500000000000e-05  4.668173529872e+00  3.178215011275e+00  4.454561006349e-01 -7.752797104208e+00 
 4.600000000000e-05  4.601697743776e+00  3.133363670989e+00  4.394752603035e-01 -7.832797626893e+00 
 4.700000000000e-05  4.536320236089e+00  3.089240946280e+00  4.335915791158e-01 -7.910061914946e+00 
 4.800000000000e-05  4.472023062300e+00  3.045835149729e+00  4.278034985841e-01 -7.984647042317e+00 
 4.900000000000e-05  4.408788566405e+00  3.003134780873e+00  4.221094851503e-01 -8.056609033392e+00 
 5.000000000000e-05  4.346599376275e+00  2.961128523248e+00  4.165080297917e-01 -8.126002881160e+00 
 5.100000000000e-05  4.285438399099e+00  2.919805241477e+00  4.109976476337e-01 -8.192882565054e+00 
 5.200000000000e-05  4.225288816888e+00  2.879153978411e+00  4.055768775674e-01 -8.257301068477e+00 
 5.300000000000e-05  4.166134082065e+00  2.839163952313e+00  4.002442818748e-01 -8.319310396020e+00 
 5.400000000000e-05  4.107957913110e+00  2.799824554082e+00  3.949984458583e-01 -8.378961590366e+00 
 5.500000000000e-05  4.050744290282e+00  2.761125344533e+00  3.898379774781e-01 -8.436304748909e+00 
 5.600000000000e-05  3.994477451409e+00  2.723056051708e+00  3.847615069935e-01 -8.491389040072e+00 
